,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
0,imBrendyn,"39,693","27,208","3,963","2,524","87,180,363","16,789",336,"6,487","2,105h"
1,bestboy021,"52,978","31,853","6,332","2,716","111,206,504","18,196","1,204","9,048","2,440h"
2,ATKAbdul,"32,141","31,353","4,525","2,892","89,109,230","12,652",564,"7,417","2,184h"
3,BugglyJR,"44,525","33,800","4,723","3,030","111,741,958","18,692",788,"7,753","2,481h"
4,Rozhiin,"16,972","18,249","2,730","1,965","46,063,186","5,785",409,"4,695","1,337h"
5,KIXS___,"74,327","30,707","10,290","1,776","137,169,286","34,098","1,603","12,066","2,686h"
6,Mr_Fabiioo,"22,881","14,391","2,706",833,"53,336,748","9,062",238,"3,539","1,137h"
7,BeautxfuI,"47,729","32,104","6,399","1,807","132,802,328","20,202",793,"8,206","2,500h"
8,iIusionaI,"49,122","40,825","5,540","3,986","126,490,425","17,816","1,441","9,526","3,033h"
9,Flxwzii,"20,264","15,105","2,754","1,201","51,301,081","7,737",323,"3,955","1,134h"
10,iiRxhuI,"4,180","3,088",543,184,"10,658,571","1,535",32,727,217h
11,Examifyy,"22,774","19,918","2,543","1,698","58,099,521","7,677",395,"4,241","1,347h"
12,LILxCARMINE,"35,792","22,413","5,074","1,103","91,123,410","13,855",805,"6,177","1,742h"
13,CANDYKUSHY,"39,939","27,519","4,331","2,050","97,478,470","18,995",520,"6,381","2,087h"
14,IREM-QX,"4,281","2,930",438,286,"9,024,784","1,806",76,724,235h
15,RtxmpIee,"7,026","5,503",898,412,"18,730,457","2,332",46,"1,310",393h
16,ZzKillerBeastzZ,"40,622","26,839","4,766","2,229","106,581,674","15,811",792,"6,995","2,092h"
17,yMatth42,"41,009","25,561","4,154","2,258","97,700,758","17,328",664,"6,412","1,973h"
18,FPS_BlaCKY,"16,922","12,395","2,264",713,"42,095,357","6,715",144,"2,977",943h
19,HoIyGeorge,"42,857","25,412","5,557","1,968","116,598,493","14,432",549,"7,525","2,341h"
20,RetroKing_09,"14,644","13,630","1,516","1,314","41,742,356","5,610",247,"2,830",925h
21,H_SHUNJP,"46,971","32,028","4,726","3,072","117,946,592","19,346",579,"7,798","2,532h"
22,zRxmaiN-,"51,273","31,118","5,743","2,202","118,860,387","25,286",396,"7,945","2,530h"
23,joao92jv,"41,044","27,971","4,485","2,469","101,372,205","15,237",811,"6,954","2,102h"
24,MxcsyPrincess,"6,483","3,975",659,287,"13,267,171","2,315",34,946,279h
25,DesireThings,"14,188","9,839","1,874",585,"37,629,884","6,274",150,"2,459",751h
26,IStefyy,"19,949","17,098","2,177","1,861","48,389,110","7,429",327,"4,038","1,233h"
27,xR4Wi-Mx,"22,286","15,499","2,664","1,661","60,426,347","9,592",567,"4,325","1,252h"
28,TwitchGodd,"44,158","39,992","4,892","3,999","102,258,634","18,302","1,455","8,891","2,752h"
29,RemyLacroixAss,"38,044","31,396","3,881","3,466","89,342,509","15,095","1,125","7,347","2,231h"
30,ITz-sajad7,"21,945","22,271","2,563","2,459","53,503,504","8,603",476,"5,022","1,436h"
31,Kasra_KP,"58,073","40,495","8,696","2,840","152,232,800","18,474",866,"11,536","3,574h"
32,iFaacKzk_,"23,463","19,216","3,053","2,404","59,252,644","9,907",419,"5,457","1,552h"
33,DannyKiIIa,"30,616","20,193","3,829","1,572","76,333,779","12,752",418,"5,401","1,706h"
34,xFrxgEU-,"1,909",981,278,45,"4,277,118",515,20,323,84h
35,RawAdapt,"13,186","7,981","1,177",282,"27,459,246","6,395",104,"1,459",567h
36,JstDiogo,"18,728","11,437","2,949",642,"49,319,353","7,978",325,"3,591","1,080h"
